set,pdbid,-logKd/Ki
pdbbind,4tmn,Ki=0.068nM
pdbbind,5tmn,Ki=9.1nM
pdbbind,1ydr,Ki=3.0uM
pdbbind,1ydt,Ki=48nM
pdbbind,1bcu,Kd=0.53mM
pdbbind,1a30,Ki=50uM
pdbbind,1bzc,Ki=12uM
pdbbind,1qf1,Ki=48nM
pdbbind,1qkt,Kd=0.92nM
pdbbind,1c5z,Ki=97uM
pdbbind,1k1i,Kd=264nM
pdbbind,1e66,Ki=0.13nM
pdbbind,1g2k,Ki=11nM
pdbbind,1eby,Ki=0.20nM
pdbbind,1gpn,Ki=0.334uM
pdbbind,1h22,Ki=0.8nM
pdbbind,1gpk,Ki=4.3uM
pdbbind,1h23,Ki=4.5nM
pdbbind,1p1n,Kd=0.16uM
pdbbind,1q8u,Kd=1.1uM
pdbbind,1p1q,Kd=12.8uM
pdbbind,1q8t,Kd=17.5uM
pdbbind,1o3f,Ki=0.011uM
pdbbind,1oyt,Ki=0.057uM
pdbbind,1nc1,Ki=0.75uM
pdbbind,1o0h,Ki=1.2uM
pdbbind,1nc3,Ki=10uM
pdbbind,1owh,Ki=40nM
pdbbind,1ps3,Ki=5.2mM
pdbbind,1nvq,Ki=5.6nM
pdbbind,1mq6,Ki=7pM
pdbbind,1lpg,Ki=82nM
pdbbind,1uto,Kd=5.32mM
pdbbind,1pxn,Ki=0.07uM
pdbbind,1r5y,Ki=0.35uM
pdbbind,1sqa,Ki=0.62nM
pdbbind,1o5b,Ki=1.7uM
pdbbind,1s38,Ki=7.0uM
pdbbind,1u1b,Kd=16nM
pdbbind,2c3i,Kd=25nM
pdbbind,1yc1,Kd=680nM
pdbbind,2brb,Ki=13.7uM
pdbbind,1z9g,Ki=2.3uM
pdbbind,1syi,Ki=3590nM
pdbbind,2al5,Ki=4nM
pdbbind,1w4o,Ki=6uM
pdbbind,2br1,Ki=7.2uM
pdbbind,1z95,Ki=76nM
pdbbind,1y6r,Ki=77pM
pdbbind,2iwx,Kd=0.21uM
pdbbind,2cbv,Kd=3.3uM
pdbbind,2j78,Kd=384nM
pdbbind,2j7h,Kd=65nM
pdbbind,2cet,Kd=9.6nM
pdbbind,1z6e,Ki=0.19nM
pdbbind,2hb1,Ki=160uM
pdbbind,2fvd,Ki=3nM
pdbbind,2v7a,Kd=0.005uM
pdbbind,2v00,Kd=0.22mM
pdbbind,2fxs,Kd=0.87uM
pdbbind,2p15,Kd=50pM
pdbbind,2pog,Ki=0.29nM
pdbbind,3bgz,Ki=0.55uM
pdbbind,2qe4,Ki=11.0nM
pdbbind,1vso,Ki=18.98uM
pdbbind,3cj4,Kd=0.31uM
pdbbind,2zb1,Kd=0.48uM
pdbbind,3coy,Kd=0.96uM
pdbbind,3coz,Kd=2.7uM
pdbbind,3f3e,Kd=20nM
pdbbind,2vw5,Kd=3nM
pdbbind,2vvn,Kd=50nM
pdbbind,3f3d,Kd=69nM
pdbbind,2qbp,Ki=0.004uM
pdbbind,2qbq,Ki=0.036uM
pdbbind,2qbr,Ki=0.47uM
pdbbind,3b65,Ki=0.54nM
pdbbind,2qnq,Ki=0.77uM
pdbbind,3e93,Ki=1.4nM
pdbbind,2zcq,Ki=1.5nM
pdbbind,3b5r,Ki=1.7nM
pdbbind,2vkm,Ki=1.8nM
pdbbind,3e92,Ki=10nM
pdbbind,2zcr,Ki=135nM
pdbbind,3d4z,Ki=13uM
pdbbind,2p4y,Ki=1nM
pdbbind,3bv9,Ki=4.4uM
pdbbind,2zda,Ki=4nM
pdbbind,3b68,Ki=4nM
pdbbind,3e5a,Ki=5.9nM
pdbbind,3f3a,Ki=64.8uM
pdbbind,2r9w,Ki=8uM
pdbbind,3f3c,Ki=950nM
pdbbind,3jvs,Kd=0.29uM
pdbbind,3gnw,Kd=0.79nM
pdbbind,2w4x,Kd=14uM
pdbbind,2wn9,Kd=3.0nM
pdbbind,2weg,Kd=314nM
pdbbind,2wnc,Kd=479nM
pdbbind,3ivg,Kd=50uM
pdbbind,3kr8,Kd=8nM
pdbbind,2wer,Kd=90nM
pdbbind,2zy1,Ki=0.04uM
pdbbind,3jya,Ki=0.1301uM
pdbbind,3g0w,Ki=0.3nM
pdbbind,3ebp,Ki=1.24uM
pdbbind,3g31,Ki=1.3mM
pdbbind,3ehy,Ki=1.4uM
pdbbind,3fcq,Ki=1.7mM
pdbbind,3jvr,Ki=1.89uM
pdbbind,3fur,Ki=10nM
pdbbind,3gbb,Ki=126nM
pdbbind,3dx2,Ki=150nM
pdbbind,3d6q,Ki=172uM
pdbbind,3dd0,Ki=1nM
pdbbind,2wca,Ki=2.5uM
pdbbind,3kgp,Ki=2.68mM
pdbbind,3ejr,Ki=2.7nM
pdbbind,3dx1,Ki=265uM
pdbbind,3ge7,Ki=2nM
pdbbind,2wbg,Ki=35.2uM
pdbbind,3gr2,Ki=3mM
pdbbind,3dxg,Ki=4.0mM
pdbbind,3g2z,Ki=4.4mM
pdbbind,3gc5,Ki=55nM
pdbbind,3gv9,Ki=7.5mM
pdbbind,2w66,Ki=89uM
pdbbind,3myg,Kd=0.02nM
pdbbind,3k5v,Kd=0.5uM
pdbbind,3lka,Kd=1.5mM
pdbbind,3mss,Kd=22uM
pdbbind,2xbv,Kd=3.7nM
pdbbind,2x00,Kd=4.7pM
pdbbind,3p5o,Kd=55.2nM
pdbbind,2xii,Kd=63.3nM
pdbbind,3nx7,Kd=7.88nM
pdbbind,2wvt,Kd=755nM
pdbbind,2xdl,Kd=790uM
pdbbind,3gy4,Kd=8uM
pdbbind,3nq9,Kd=92.6uM
pdbbind,3fv1,Ki=0.5nM
pdbbind,2wtv,Ki=1.8nM
pdbbind,2xnb,Ki=149nM
pdbbind,3acw,Ki=17.5uM
pdbbind,2xj7,Ki=220nM
pdbbind,2xb8,Ki=26nM
pdbbind,3l7b,Ki=4.01mM
pdbbind,3fv2,Ki=7.7nM
pdbbind,3g2n,Ki=81uM
pdbbind,3kwa,Ki=84uM
pdbbind,3ag9,Ki=9nM
pdbbind,3arp,Kd=0.07uM
pdbbind,3uex,Kd=0.12uM
pdbbind,2yki,Kd=0.35nM
pdbbind,3uew,Kd=0.49uM
pdbbind,3arq,Kd=0.4uM
pdbbind,3ary,Kd=1.0uM
pdbbind,3uev,Kd=1.29uM
pdbbind,3pyy,Kd=137nM
pdbbind,3ryj,Kd=16nM
pdbbind,3arv,Kd=2.3uM
pdbbind,3u5j,Kd=2.46uM
pdbbind,3pxf,Kd=37uM
pdbbind,3rsx,Kd=38.8uM
pdbbind,3ueu,Kd=5.81uM
pdbbind,3b27,Kd=6.9uM
pdbbind,3aru,Kd=600uM
pdbbind,3ao4,Kd=8.5mM
pdbbind,2yge,Kd=8.62uM
pdbbind,3u8n,Ki=0.067nM
pdbbind,3n76,Ki=0.14uM
pdbbind,3o9i,Ki=1.5pM
pdbbind,3oe5,Ki=132nM
pdbbind,3prs,Ki=15nM
pdbbind,2y5h,Ki=1620nM
pdbbind,3qgy,Ki=16nM
pdbbind,3nw9,Ki=1nM
pdbbind,3ui7,Ki=1nM
pdbbind,3u8k,Ki=2.2nM
pdbbind,3n86,Ki=2.3uM
pdbbind,3n7a,Ki=200uM
pdbbind,3b1m,Ki=3.3nM
pdbbind,3rlr,Ki=30nM
pdbbind,3oe4,Ki=34nM
pdbbind,2xys,Ki=38nM
pdbbind,3u9q,Ki=41.7uM
pdbbind,3ozs,Ki=4645nM
pdbbind,3pww,Ki=48nM
pdbbind,3ozt,Ki=74.9uM
pdbbind,3udh,Kd=1.4mM
pdbbind,4agn,Kd=107uM
pdbbind,3zt2,Kd=1435uM
pdbbind,4agp,Kd=20.6uM
pdbbind,4abg,Kd=271uM
pdbbind,3uo4,Kd=299nM
pdbbind,3up2,Kd=40nM
pdbbind,3zsx,Kd=519uM
pdbbind,3tsk,Kd=67nM
pdbbind,2ymd,Kd=693uM
pdbbind,3zso,Kd=7.6uM
pdbbind,4eo8,Kd=7nM
pdbbind,4agq,Kd=9.7uM
pdbbind,3utu,Ki=0.012nM
pdbbind,4gid,Ki=0.017nM
pdbbind,4djv,Ki=0.19uM
pdbbind,2yfe,Ki=0.236uM
pdbbind,4ea2,Ki=0.36uM
pdbbind,4de1,Ki=1.1uM
pdbbind,3qqs,Ki=1.5uM
pdbbind,4dld,Ki=1.5uM
pdbbind,4hge,Ki=11.9nM
pdbbind,3twp,Ki=119uM
pdbbind,3uuo,Ki=11nM
pdbbind,3r88,Ki=15uM
pdbbind,3uri,Ki=1nM
pdbbind,4f09,Ki=200nM
pdbbind,4e5w,Ki=22nM
pdbbind,3rr4,Ki=28.05uM
pdbbind,4de3,Ki=3.0uM
pdbbind,4eky,Ki=303.0uM
pdbbind,4e6q,Ki=4.4nM
pdbbind,3syr,Ki=7.9uM
pdbbind,4de2,Ki=76.0uM
pdbbind,4ddh,Kd=0.5mM
pdbbind,4j3l,Kd=16nM
pdbbind,4dli,Kd=2.40uM
pdbbind,4bkt,Kd=240uM
pdbbind,4mme,Kd=318nM
pdbbind,4j21,Kd=39nM
pdbbind,4ddk,Kd=5.1mM
pdbbind,4ih7,Kd=5.8uM
pdbbind,4kzq,Kd=788nM
pdbbind,4ih5,Kd=78uM
pdbbind,4gfm,Ki=0.06uM
pdbbind,4ivc,Ki=0.1nM
pdbbind,4gr0,Ki=0.28nM
pdbbind,4ivd,Ki=0.3nM
pdbbind,4jia,Ki=0.6nM
pdbbind,4k18,Ki=1.1nM
pdbbind,4f3c,Ki=1.5pM
pdbbind,4ivb,Ki=1.9nM
pdbbind,4f9w,Ki=114nM
pdbbind,4j28,Ki=2.0uM
pdbbind,4k77,Ki=235nM
pdbbind,4kzu,Ki=313nM
pdbbind,4f2w,Ki=5.0pM
pdbbind,4jfs,Ki=5.4uM
pdbbind,4jsz,Ki=5000uM
pdbbind,4eor,Ki=500nM
pdbbind,4gkm,Ki=6.8uM
pdbbind,3zdg,Ki=79nM
pdbbind,4w9h,Kd=0.185uM
pdbbind,4m0y,Kd=0.35uM
pdbbind,4qac,Kd=0.4nM
pdbbind,4w9i,Kd=1.10uM
pdbbind,4u4s,Kd=1200uM
pdbbind,4ogj,Kd=164nM
pdbbind,4lzs,Kd=16uM
pdbbind,4mgd,Kd=20.19uM
pdbbind,4cig,Kd=214uM
pdbbind,4w9c,Kd=22.2uM
pdbbind,4wiv,Kd=550nM
pdbbind,4m0z,Kd=6.4uM
pdbbind,4w9l,Kd=9.52uM
pdbbind,4ty7,Ki=0.3nM
pdbbind,4kz6,Ki=0.8mM
pdbbind,4owm,Ki=1090uM
pdbbind,4llx,Ki=1300uM
pdbbind,4pcs,Ki=14nM
pdbbind,4ciw,Ki=15.0uM
pdbbind,4jxs,Ki=18uM
pdbbind,3wtj,Kd=0.297uM
pdbbind,5aba,Kd=1040uM
pdbbind,5a7b,Kd=271uM
pdbbind,4crc,Ki=0.0019uM
pdbbind,4cra,Ki=0.06uM
pdbbind,3wz8,Ki=1.5uM
pdbbind,4twp,Ki=100pM
pdbbind,5c28,Ki=2.2uM
pdbbind,4qd6,Ki=2.3nM
pdbbind,4x6p,Ki=5nM
pdbbind,5dwr,Ki=6pM
pdbbind,5c2h,Ki=8.2pM
pdbbind,4cr9,Ki=80uM
pdbbind,4rfm,Ki=90pM
