set,pdbid,-logKd/Ki
pdbbind,2r58,2.00
pdbbind,3c2f,2.00
pdbbind,3g2y,2.00
pdbbind,3pce,2.00
pdbbind,4qsu,2.00
pdbbind,4qsv,2.00
pdbbind,4u54,2.06
pdbbind,3ao4,2.07
pdbbind,4cs9,2.10
pdbbind,2w8w,2.12
pdbbind,3gv9,2.12
pdbbind,6r9u,2.12
pdbbind,6abx,2.14
pdbbind,4q90,2.15
pdbbind,5cs3,2.15
pdbbind,4tim,2.16
pdbbind,5fe6,2.16
pdbbind,6ghj,2.16
pdbbind,3gqz,2.17
pdbbind,4y3j,2.17
pdbbind,5oxk,2.17
pdbbind,5z5f,2.17
pdbbind,4ahr,2.19
pdbbind,4ahs,2.19
pdbbind,4mre,2.19
pdbbind,1x8d,2.21
pdbbind,4g0z,2.21
pdbbind,1m0n,2.22
pdbbind,2aac,2.22
pdbbind,4aci,2.22
pdbbind,4ury,2.22
pdbbind,1ajp,2.23
pdbbind,3ao5,2.23
pdbbind,3i3b,2.23
pdbbind,5m9w,2.24
pdbbind,1ew8,2.26
pdbbind,4np2,2.26
pdbbind,1uto,2.27
pdbbind,4ahu,2.27
pdbbind,1ps3,2.28
pdbbind,3ip8,2.28
pdbbind,4ddk,2.29
pdbbind,3dyo,2.30
pdbbind,3kgq,2.30
pdbbind,3mhw,2.30
pdbbind,3pcg,2.30
pdbbind,3rv4,2.30
pdbbind,4g0y,2.30
pdbbind,4jsz,2.30
pdbbind,1m0o,2.31
pdbbind,4y0a,2.31
pdbbind,5mz8,2.31
pdbbind,5aol,2.32
pdbbind,4iie,2.34
pdbbind,3gtc,2.35
pdbbind,4y3y,2.35
pdbbind,3g2z,2.36
pdbbind,5fsc,2.36
pdbbind,3t0d,2.37
pdbbind,6rnt,2.37
pdbbind,3f6e,2.38
pdbbind,6md8,2.38
pdbbind,1f73,2.39
pdbbind,1nwl,2.39
pdbbind,4u5s,2.41
pdbbind,4u5o,2.42
pdbbind,6mli,2.43
pdbbind,1oba,2.44
pdbbind,3mjl,2.44
pdbbind,4ddm,2.46
pdbbind,4x8u,2.46
pdbbind,1utl,2.47
pdbbind,4y4j,2.47
pdbbind,6fhq,2.47
pdbbind,1gyx,2.48
pdbbind,4u5n,2.48
pdbbind,5mn1,2.48
pdbbind,4efk,2.49
pdbbind,4kz7,2.49
pdbbind,1ai4,2.50
pdbbind,3g30,2.51
pdbbind,3gr2,2.52
pdbbind,3mfv,2.52
pdbbind,3vdb,2.52
pdbbind,4g0q,2.52
pdbbind,4urz,2.52
pdbbind,4hj2,2.53
pdbbind,3b3s,2.55
pdbbind,3ovn,2.55
pdbbind,1gwv,2.57
pdbbind,3kgp,2.57
pdbbind,3gvb,2.59
pdbbind,4o3c,2.59
pdbbind,2r5a,2.60
pdbbind,4up5,2.60
pdbbind,5g46,2.60
pdbbind,3f37,2.62
pdbbind,5lvd,2.62
pdbbind,1ajn,2.63
pdbbind,4i8x,2.64
pdbbind,4q7w,2.64
pdbbind,4q8y,2.64
pdbbind,4ufl,2.64
pdbbind,6fhu,2.64
pdbbind,5ey0,2.65
pdbbind,3a1e,2.66
pdbbind,3lvw,2.67
pdbbind,4b3c,2.68
pdbbind,4b3d,2.68
pdbbind,3elc,2.69
pdbbind,2fzc,2.70
pdbbind,2uyn,2.70
pdbbind,3bra,2.70
pdbbind,6nmb,2.70
pdbbind,1pfu,2.72
