pdbid,-logKd/Ki
4tmn,Ki=0.068nM
5tmn,Ki=9.1nM
1ydr,Ki=3.0uM
1ydt,Ki=48nM
1bcu,Kd=0.53mM
1a30,Ki=50uM
1bzc,Ki=12uM
1qf1,Ki=48nM
1qkt,Kd=0.92nM
1c5z,Ki=97uM
1k1i,Kd=264nM
1e66,Ki=0.13nM
1g2k,Ki=11nM
1eby,Ki=0.20nM
1gpn,Ki=0.334uM
1h22,Ki=0.8nM
1gpk,Ki=4.3uM
1h23,Ki=4.5nM
1p1n,Kd=0.16uM
1q8u,Kd=1.1uM
1p1q,Kd=12.8uM
1q8t,Kd=17.5uM
1o3f,Ki=0.011uM
1oyt,Ki=0.057uM
1nc1,Ki=0.75uM
1o0h,Ki=1.2uM
1nc3,Ki=10uM
1owh,Ki=40nM
1ps3,Ki=5.2mM
1nvq,Ki=5.6nM
1mq6,Ki=7pM
1lpg,Ki=82nM
1uto,Kd=5.32mM
1pxn,Ki=0.07uM
1r5y,Ki=0.35uM
1sqa,Ki=0.62nM
1o5b,Ki=1.7uM
1s38,Ki=7.0uM
1u1b,Kd=16nM
2c3i,Kd=25nM
1yc1,Kd=680nM
2brb,Ki=13.7uM
1z9g,Ki=2.3uM
1syi,Ki=3590nM
2al5,Ki=4nM
1w4o,Ki=6uM
2br1,Ki=7.2uM
1z95,Ki=76nM
1y6r,Ki=77pM
2iwx,Kd=0.21uM
2cbv,Kd=3.3uM
2j78,Kd=384nM
2j7h,Kd=65nM
2cet,Kd=9.6nM
1z6e,Ki=0.19nM
2hb1,Ki=160uM
2fvd,Ki=3nM
2v7a,Kd=0.005uM
2v00,Kd=0.22mM
2fxs,Kd=0.87uM
2p15,Kd=50pM
2pog,Ki=0.29nM
3bgz,Ki=0.55uM
2qe4,Ki=11.0nM
1vso,Ki=18.98uM
3cj4,Kd=0.31uM
2zb1,Kd=0.48uM
3coy,Kd=0.96uM
3coz,Kd=2.7uM
3f3e,Kd=20nM
2vw5,Kd=3nM
2vvn,Kd=50nM
3f3d,Kd=69nM
2qbp,Ki=0.004uM
2qbq,Ki=0.036uM
2qbr,Ki=0.47uM
3b65,Ki=0.54nM
2qnq,Ki=0.77uM
3e93,Ki=1.4nM
2zcq,Ki=1.5nM
3b5r,Ki=1.7nM
2vkm,Ki=1.8nM
3e92,Ki=10nM
2zcr,Ki=135nM
3d4z,Ki=13uM
2p4y,Ki=1nM
3bv9,Ki=4.4uM
2zda,Ki=4nM
3b68,Ki=4nM
3e5a,Ki=5.9nM
3f3a,Ki=64.8uM
2r9w,Ki=8uM
3f3c,Ki=950nM
3jvs,Kd=0.29uM
3gnw,Kd=0.79nM
2w4x,Kd=14uM
2wn9,Kd=3.0nM
2weg,Kd=314nM
2wnc,Kd=479nM
3ivg,Kd=50uM
3kr8,Kd=8nM
2wer,Kd=90nM
2zy1,Ki=0.04uM
3jya,Ki=0.1301uM
3g0w,Ki=0.3nM
3ebp,Ki=1.24uM
3g31,Ki=1.3mM
3ehy,Ki=1.4uM
3fcq,Ki=1.7mM
3jvr,Ki=1.89uM
