name,partition,set,error
2r58,docking,pdbbind,2r58 does not contain any pose data
2r58,crystal,pdbbind,no ligand for 2r58 (pdbbind set)
3c2f,docking,pdbbind,3c2f does not contain any pose data
3c2f,crystal,pdbbind,no ligand for 3c2f (pdbbind set)
3g2y,docking,pdbbind,3g2y does not contain any pose data
3g2y,crystal,pdbbind,no ligand for 3g2y (pdbbind set)
3pce,docking,pdbbind,3pce does not contain any pose data
3pce,crystal,pdbbind,no ligand for 3pce (pdbbind set)
4qsu,docking,pdbbind,4qsu does not contain any pose data
4qsu,crystal,pdbbind,no ligand for 4qsu (pdbbind set)
4qsv,docking,pdbbind,4qsv does not contain any pose data
4qsv,crystal,pdbbind,no ligand for 4qsv (pdbbind set)
4u54,docking,pdbbind,4u54 does not contain any pose data
4u54,crystal,pdbbind,no ligand for 4u54 (pdbbind set)
3ao4,docking,pdbbind,3ao4 does not contain any pose data
3ao4,crystal,pdbbind,no ligand for 3ao4 (pdbbind set)
4cs9,docking,pdbbind,4cs9 does not contain any pose data
4cs9,crystal,pdbbind,no ligand for 4cs9 (pdbbind set)
2w8w,docking,pdbbind,2w8w does not contain any pose data
2w8w,crystal,pdbbind,no ligand for 2w8w (pdbbind set)
3gv9,docking,pdbbind,3gv9 does not contain any pose data
3gv9,crystal,pdbbind,no ligand for 3gv9 (pdbbind set)
6r9u,docking,pdbbind,6r9u does not contain any pose data
6r9u,crystal,pdbbind,no ligand for 6r9u (pdbbind set)
6abx,docking,pdbbind,6abx does not contain any pose data
6abx,crystal,pdbbind,no ligand for 6abx (pdbbind set)
4q90,docking,pdbbind,4q90 does not contain any pose data
4q90,crystal,pdbbind,no ligand for 4q90 (pdbbind set)
5cs3,docking,pdbbind,5cs3 does not contain any pose data
5cs3,crystal,pdbbind,no ligand for 5cs3 (pdbbind set)
4tim,docking,pdbbind,4tim does not contain any pose data
4tim,crystal,pdbbind,no ligand for 4tim (pdbbind set)
5fe6,docking,pdbbind,5fe6 does not contain any pose data
5fe6,crystal,pdbbind,no ligand for 5fe6 (pdbbind set)
6ghj,docking,pdbbind,6ghj does not contain any pose data
6ghj,crystal,pdbbind,no ligand for 6ghj (pdbbind set)
3gqz,docking,pdbbind,3gqz does not contain any pose data
3gqz,crystal,pdbbind,no ligand for 3gqz (pdbbind set)
4y3j,docking,pdbbind,4y3j does not contain any pose data
4y3j,crystal,pdbbind,no ligand for 4y3j (pdbbind set)
5oxk,docking,pdbbind,5oxk does not contain any pose data
5oxk,crystal,pdbbind,no ligand for 5oxk (pdbbind set)
5z5f,docking,pdbbind,5z5f does not contain any pose data
5z5f,crystal,pdbbind,no ligand for 5z5f (pdbbind set)
4ahr,docking,pdbbind,4ahr does not contain any pose data
4ahr,crystal,pdbbind,no ligand for 4ahr (pdbbind set)
4ahs,docking,pdbbind,4ahs does not contain any pose data
4ahs,crystal,pdbbind,no ligand for 4ahs (pdbbind set)
4mre,docking,pdbbind,4mre does not contain any pose data
4mre,crystal,pdbbind,no ligand for 4mre (pdbbind set)
1x8d,docking,pdbbind,1x8d does not contain any pose data
1x8d,crystal,pdbbind,no ligand for 1x8d (pdbbind set)
4g0z,docking,pdbbind,4g0z does not contain any pose data
4g0z,crystal,pdbbind,no ligand for 4g0z (pdbbind set)
1m0n,docking,pdbbind,1m0n does not contain any pose data
1m0n,crystal,pdbbind,no ligand for 1m0n (pdbbind set)
2aac,docking,pdbbind,2aac does not contain any pose data
2aac,crystal,pdbbind,no ligand for 2aac (pdbbind set)
4aci,docking,pdbbind,4aci does not contain any pose data
4aci,crystal,pdbbind,no ligand for 4aci (pdbbind set)
4ury,docking,pdbbind,4ury does not contain any pose data
4ury,crystal,pdbbind,no ligand for 4ury (pdbbind set)
1ajp,docking,pdbbind,1ajp does not contain any pose data
1ajp,crystal,pdbbind,no ligand for 1ajp (pdbbind set)
3ao5,docking,pdbbind,3ao5 does not contain any pose data
3ao5,crystal,pdbbind,no ligand for 3ao5 (pdbbind set)
3i3b,docking,pdbbind,3i3b does not contain any pose data
3i3b,crystal,pdbbind,no ligand for 3i3b (pdbbind set)
5m9w,docking,pdbbind,5m9w does not contain any pose data
5m9w,crystal,pdbbind,no ligand for 5m9w (pdbbind set)
1ew8,docking,pdbbind,1ew8 does not contain any pose data
1ew8,crystal,pdbbind,no ligand for 1ew8 (pdbbind set)
4np2,docking,pdbbind,4np2 does not contain any pose data
4np2,crystal,pdbbind,no ligand for 4np2 (pdbbind set)
1uto,docking,pdbbind,1uto does not contain any pose data
1uto,crystal,pdbbind,no ligand for 1uto (pdbbind set)
4ahu,docking,pdbbind,4ahu does not contain any pose data
4ahu,crystal,pdbbind,no ligand for 4ahu (pdbbind set)
1ps3,docking,pdbbind,1ps3 does not contain any pose data
1ps3,crystal,pdbbind,no ligand for 1ps3 (pdbbind set)
3ip8,docking,pdbbind,3ip8 does not contain any pose data
3ip8,crystal,pdbbind,no ligand for 3ip8 (pdbbind set)
4ddk,docking,pdbbind,4ddk does not contain any pose data
4ddk,crystal,pdbbind,no ligand for 4ddk (pdbbind set)
3dyo,docking,pdbbind,3dyo does not contain any pose data
3dyo,crystal,pdbbind,no ligand for 3dyo (pdbbind set)
3kgq,docking,pdbbind,3kgq does not contain any pose data
3kgq,crystal,pdbbind,no ligand for 3kgq (pdbbind set)
3mhw,docking,pdbbind,3mhw does not contain any pose data
3mhw,crystal,pdbbind,no ligand for 3mhw (pdbbind set)
3pcg,docking,pdbbind,3pcg does not contain any pose data
3pcg,crystal,pdbbind,no ligand for 3pcg (pdbbind set)
