name,fc0,fc1,fc2,fc3,fc4,fc5,fc6,fc7,fc8,fc9,fc10,fc11,fc12,fc13,fc14,fc15,affinity
186l,618.4414,-64.84628,185.13673,-161.841,102.16018,218.78381,-173.49405,217.67657,-212.11249,135.93588,0.0,0.0,0.0,3.651227,0.0,0.0,4.85
188l,747.217,-94.80163,259.16727,-180.36546,76.620384,195.23132,-196.73895,221.24985,-238.75705,168.99371,0.0,0.0,0.0,3.234311,0.0,0.0,3.33
1a1e,549.8996,-49.455956,129.50694,-144.12366,62.355034,178.59045,-166.10185,171.02448,-205.81708,108.54277,0.0,0.0,0.0,4.53971,0.0,0.0,6.0
1a28,244.16716,-51.780704,183.90836,-138.39986,261.25702,408.4144,-228.37766,348.74942,-253.51747,214.73578,0.0,0.0,0.0,5.3469343,0.0,0.0,8.29
1a4k,257.23196,-63.896145,201.5679,-161.33418,274.45224,432.58585,-233.4159,367.97513,-263.5928,224.44392,0.0,0.0,0.0,4.822999,0.0,0.0,8.0
1a4r,381.00888,-64.993095,209.83661,-153.21461,235.03477,347.7011,-207.8711,331.42133,-244.36186,167.2695,0.0,0.0,0.0,4.6149716,0.0,0.0,6.66
1a4w,334.24072,-92.615105,463.49265,-175.53276,497.0288,602.69617,-359.41013,590.6181,-349.93146,440.19824,0.0,0.0,0.0,6.65626,0.0,0.0,5.92
1a69,501.0766,-60.631588,235.12079,-143.21216,189.94182,344.07242,-201.23326,299.59625,-252.19096,198.53972,0.0,0.0,0.0,5.1922812,0.0,0.0,5.3
1a94,260.47113,-46.753307,268.2693,-156.14168,370.8144,438.55777,-278.84357,450.58423,-284.56436,265.34433,0.0,0.0,0.0,5.923179,0.0,0.0,7.85
1a99,610.8112,-66.11551,124.830536,-145.50471,24.612642,165.63481,-185.18968,171.94756,-217.7823,104.83653,0.0,0.0,0.0,4.5714235,0.0,0.0,5.7
1a9m,366.32004,-45.672977,235.04523,-146.93669,336.04633,356.24982,-239.61166,380.657,-259.2554,223.96762,0.0,0.0,0.0,5.8258286,0.0,0.0,6.92
1aaq,283.78662,-61.963768,116.91738,-132.65498,238.87645,370.50287,-183.32675,322.04642,-230.26776,179.71046,0.0,0.0,0.0,5.644206,0.0,0.0,8.4
1add,424.36865,-55.419132,191.6191,-142.84247,187.3079,326.8096,-218.75899,299.047,-243.26474,193.59213,0.0,0.0,0.0,4.1531973,0.0,0.0,6.74
1adl,529.50244,-58.72234,269.39056,-139.61362,270.207,295.3044,-221.5998,365.6982,-257.05228,204.7594,0.0,0.0,0.0,4.885171,0.0,0.0,5.36
1ado,581.5741,-74.885185,106.770035,-162.35097,42.70213,182.60448,-178.09805,198.44212,-218.53033,95.203316,0.0,0.0,0.0,2.6537406,0.0,0.0,6.0
1afk,495.8183,-50.397015,183.89772,-137.01149,119.454254,235.7868,-184.98807,263.57602,-227.73576,158.32368,0.0,0.0,0.0,3.8605642,0.0,0.0,6.62
1ai4,700.3608,-83.77488,329.5815,-179.25523,202.29266,305.93594,-194.78314,311.50937,-274.87167,191.56029,0.0,0.0,0.0,3.1190603,0.0,0.0,2.5
1ai5,618.953,-75.20011,287.02307,-171.13092,212.83365,313.596,-198.8729,318.39975,-266.82593,181.647,0.0,0.0,0.0,3.118844,0.0,0.0,3.72
1ai7,742.20605,-71.49142,182.35197,-173.78284,35.843945,135.45073,-187.01619,181.65181,-218.92802,114.75514,0.0,0.0,0.0,3.0728478,0.0,0.0,4.09
1aid,470.13678,-80.327995,434.05823,-172.89177,486.7905,481.8509,-350.7084,600.5413,-326.27563,319.4501,0.0,0.0,0.0,4.6321697,0.0,0.0,4.82
1ajn,689.8643,-85.92131,358.65125,-188.05818,270.94315,347.88342,-219.34605,372.97556,-286.59637,236.21487,0.0,0.0,0.0,3.0861225,0.0,0.0,2.63
1ajp,729.3237,-89.39477,348.82358,-181.60289,203.904,301.73703,-193.82912,312.65695,-278.962,203.46605,0.0,0.0,0.0,3.1209874,0.0,0.0,2.23
1ajq,597.1539,-68.97207,275.9589,-162.76541,205.49168,301.96506,-212.05211,320.13077,-268.0535,193.8213,0.0,0.0,0.0,3.104654,0.0,0.0,4.31
1alw,581.7699,-71.10236,103.85776,-161.63596,20.003834,146.36203,-188.03578,201.61652,-210.27457,95.763336,0.0,0.0,0.0,2.9764688,0.0,0.0,6.52
1amk,757.7159,-86.72666,220.9265,-172.57857,11.592824,129.9416,-198.66084,215.9463,-235.97046,141.80829,0.0,0.0,0.0,2.7735991,0.0,0.0,4.3
1amw,599.6988,-86.13546,297.94595,-172.3593,205.38007,318.1026,-205.71024,340.2843,-261.1227,243.72983,0.0,0.0,0.0,3.7875757,0.0,0.0,4.54
1apv,164.68694,-58.979244,181.69434,-145.7447,337.78372,452.39005,-252.66083,432.41766,-259.22623,192.42789,0.0,0.0,0.0,6.2136974,0.0,0.0,9.0
1atl,516.62036,-56.31466,166.20976,-147.8933,96.51315,239.59882,-183.92941,233.32306,-209.9903,160.86426,0.0,0.0,0.0,4.3139405,0.0,0.0,6.28
1atr,430.4771,-64.71354,196.31017,-166.84924,244.98228,320.93497,-245.89606,364.63754,-255.51013,197.95949,0.0,0.0,0.0,4.81602,0.0,0.0,6.96
1avn,799.8715,-91.858665,257.62146,-199.5381,58.078995,126.64696,-211.76344,234.69882,-260.0628,178.27127,0.0,0.0,0.0,2.4337778,0.0,0.0,3.9
1azm,434.7964,-51.073982,171.04399,-138.04047,154.87831,327.80862,-170.30435,238.36644,-226.37166,160.1398,0.0,0.0,0.0,5.321935,0.0,0.0,6.1
1b05,341.78836,-58.402683,249.78966,-150.9464,309.62115,425.80984,-250.1582,415.97394,-278.4883,252.07019,0.0,0.0,0.0,4.6077156,0.0,0.0,7.12
1b0h,284.92032,-57.15765,363.36426,-156.02782,456.72278,516.7975,-312.95853,531.90533,-311.09265,311.91495,0.0,0.0,0.0,5.395876,0.0,0.0,6.7
1b1h,259.10403,-66.07079,376.31445,-170.73839,500.21802,567.7296,-347.29974,604.17114,-332.2548,333.0963,0.0,0.0,0.0,5.1811957,0.0,0.0,7.03
1b2h,501.64993,-82.93714,430.36035,-175.8295,417.47876,526.07074,-293.2967,553.31396,-330.35098,362.62946,0.0,0.0,0.0,4.874845,0.0,0.0,4.54
