gate_count,seed,circuit_rank,circuit_idx,rfd_score,r2,rmse,mae,pearson,spearman,r2_baseline,r2_gain
3,0,1,36,11.762878900853933,0.4752293825149536,0.7167395794912299,0.5593767762184143,0.6919539,0.680466061572888,0.475192666053772,3.6716461181640625e-05
3,0,2,24,11.513909001262533,0.4749799966812134,0.7169098726020343,0.5594460368156433,0.69178116,0.6802513921249597,0.475192666053772,-0.00021266937255859375
3,0,3,39,11.752820759418587,0.4749755859375,0.716912907244202,0.559458315372467,0.69178253,0.6801466943994035,0.475192666053772,-0.00021708011627197266
3,0,4,16,11.752820759418581,0.4749755859375,0.716912907244202,0.559458315372467,0.6917825,0.6801466943994035,0.475192666053772,-0.00021708011627197266
3,0,5,19,11.614920406914969,0.4749755859375,0.716912907244202,0.559458315372467,0.69178253,0.6801466943994035,0.475192666053772,-0.00021708011627197266
3,0,6,34,11.613323247558718,0.4749755859375,0.716912907244202,0.5594582557678223,0.69178253,0.6801466943994035,0.475192666053772,-0.00021708011627197266
3,0,7,31,11.610745645409079,0.4749755859375,0.716912907244202,0.5594582557678223,0.6917826,0.6801466943994035,0.475192666053772,-0.00021708011627197266
3,0,8,26,11.609852477457988,0.4749755859375,0.716912907244202,0.559458315372467,0.69178253,0.6801466943994035,0.475192666053772,-0.00021708011627197266
3,0,9,28,11.609852477457988,0.4749755859375,0.716912907244202,0.559458315372467,0.69178253,0.6801466943994035,0.475192666053772,-0.00021708011627197266
3,0,10,8,11.60648479080655,0.4749755859375,0.716912907244202,0.559458315372467,0.69178253,0.6801466943994035,0.475192666053772,-0.00021708011627197266
3,0,11,22,11.51975570770378,0.4749755859375,0.716912907244202,0.559458315372467,0.6917826,0.6801466943994035,0.475192666053772,-0.00021708011627197266
3,0,12,29,11.51635985735419,0.4749755859375,0.716912907244202,0.559458315372467,0.6917826,0.6801466943994035,0.475192666053772,-0.00021708011627197266
3,0,13,45,11.515439745833053,0.4749755859375,0.716912907244202,0.559458315372467,0.6917825,0.6801466943994035,0.475192666053772,-0.00021708011627197266
3,0,14,15,11.513462125886575,0.4749755859375,0.716912907244202,0.559458315372467,0.6917826,0.6801466943994035,0.475192666053772,-0.00021708011627197266
3,0,15,9,11.511733478536069,0.4749755859375,0.716912907244202,0.5594582557678223,0.69178253,0.6801466943994035,0.475192666053772,-0.00021708011627197266
3,0,16,11,11.752820759418585,0.4749755263328552,0.7169129488145535,0.559458315372467,0.69178265,0.6801466943994035,0.475192666053772,-0.00021713972091674805
3,0,17,41,11.517109310913654,0.47496944665908813,0.7169171058375271,0.5593954920768738,0.691782,0.6800404204006416,0.475192666053772,-0.0002232193946838379
3,0,18,49,11.47763913019426,0.4749312996864319,0.7169430866850176,0.5595751404762268,0.6917506,0.6802917233860044,0.475192666053772,-0.0002613663673400879
