circ_idx,rfd,cka,r2,rmse,mae,pearson,spearman,alpha
0,17.1518,0.0091,0.0436,1.7788,1.3947,0.2634,0.2927,10
1,16.9799,0.0166,0.0704,1.7537,1.3944,0.3396,0.3188,10
2,16.9396,0.0223,0.0117,1.8082,1.4342,0.1161,0.1095,10
3,16.9793,0.0129,0.0219,1.7988,1.4242,0.1609,0.1732,10
4,16.9753,0.0243,0.0537,1.7693,1.3821,0.2519,0.2394,10
5,17.1746,0.0192,0.0425,1.7798,1.4085,0.2267,0.2054,10
6,17.0134,0.0155,0.0708,1.7533,1.3621,0.3444,0.3743,10
7,17.024,0.0157,0.0298,1.7916,1.4068,0.192,0.1775,10
8,17.2815,0.0167,0.0172,1.8031,1.4052,0.1438,0.1713,10
9,16.9364,0.0167,0.0669,1.757,1.3745,0.304,0.3062,10
10,17.0697,0.0097,0.0032,1.8159,1.4338,0.1685,0.1722,100
11,16.9107,0.0149,0.0074,1.8122,1.4262,0.0994,0.1071,10
12,17.0144,0.0171,0.0405,1.7817,1.3887,0.2311,0.2406,10
13,16.9717,0.0211,0.0644,1.7593,1.3944,0.3095,0.2528,10
14,17.0772,0.0256,0.0388,1.7833,1.3966,0.2134,0.2301,10
15,17.0606,0.0179,0.0538,1.7692,1.3992,0.28,0.3071,10
16,16.9653,0.0207,0.0531,1.77,1.394,0.2793,0.2572,10
17,17.1353,0.0234,0.0262,1.7949,1.4019,0.1696,0.1762,10
18,17.1412,0.0256,0.0679,1.756,1.3743,0.3005,0.2947,10
19,16.8521,0.0203,0.0273,1.7939,1.4048,0.1937,0.2088,1
