mode,circuit_sharing,shot,circuit_seed,n_quantum_layers,gates_per_layer,layer_fingerprints,n_quantum_params_total,r2_holdout,rmse_holdout,mae_holdout,pearson_holdout,spearman_holdout,r2_val,best_val_rmse,train_time_s,epochs_run,n_trainable_total,n_quantum_params
fixed,independent,0,3009,1,3,"t:2|cx:0,3|cx:3,5",1,0.4698076844215393,0.7204325925465128,0.5608978867530823,0.6901443004608154,0.6807756037051133,0.9837072491645813,0.12835332019198425,203.58037495613098,15.0,5599.0,0.0
fixed,independent,1,3110,1,3,"cx:0,3|h:2|h:5",2,0.46803200244903564,0.721637977561377,0.5632288455963135,0.6896663308143616,0.6766762622743386,0.9807444214820862,0.1395365860635287,203.69121980667114,15.0,5599.0,0.0
fixed,independent,2,3211,1,3,"h:0|cx:4,0|h:2",2,0.4737436771392822,0.7177534658546968,0.5594503283500671,0.6896628141403198,0.6776163373921923,0.984629213809967,0.12466873291823695,203.53993487358093,15.0,5599.0,0.0
fixed,independent,0,4018,2,3,"t:4|t:5|t:0||h:1|h:0|cx:0,5",5,0.4689025282859802,0.721047295988634,0.5625757575035095,0.6862740516662598,0.6744298477743581,0.9822109937667847,0.13411751685282902,406.0554518699646,15.0,6865.0,0.0
fixed,independent,1,4119,2,3,"h:2|cx:5,2|cx:5,2||t:0|t:4|h:4",4,0.46937471628189087,0.720726653751367,0.5651165246963501,0.6892309784889221,0.6799610615631586,0.9851661920547485,0.12247176343043505,403.14929008483887,15.0,6865.0,0.0
fixed,independent,2,4220,2,3,"cx:1,3|t:1|h:1||h:4|h:1|t:0",5,0.4727855324745178,0.7184065537261022,0.5575951933860779,0.6915100812911987,0.6797058712273338,0.9848306179046631,0.12384924332474577,400.55645966529846,15.0,6865.0,0.0
fixed,independent,0,5027,3,3,"h:2|h:1|t:5||h:5|cx:2,1|t:0||t:4|h:4|t:3",8,0.47362369298934937,0.7178353004006433,0.5613009929656982,0.6902099847793579,0.6777840267875846,0.9842998385429382,0.1259973937561684,602.1765859127045,15.0,8131.0,0.0
fixed,independent,1,5128,3,3,"cx:1,5|t:1|h:0||t:3|cx:2,4|h:1||t:5|cx:0,2|h:3",6,0.47488999366760254,0.7169713112107368,0.5588475465774536,0.6909298300743103,0.6819954021327448,0.9800873398780823,0.141897287361698,609.9807188510895,15.0,8131.0,0.0
fixed,independent,2,5229,3,3,"cx:1,2|cx:2,4|cx:5,3||cx:2,0|t:3|cx:2,0||cx:1,3|cx:3,0|t:0",2,0.47031450271606445,0.7200881691433205,0.5626643300056458,0.6876364350318909,0.6780788728387943,0.9866509437561035,0.11618099307697184,606.4125480651855,15.0,8131.0,0.0
fixed,independent,0,6036,4,3,"t:1|t:0|cx:5,3||cx:4,0|cx:4,5|t:5||h:1|h:2|cx:5,2||t:4|cx:5,3|cx:4,1",6,0.47522681951522827,0.7167413674464385,0.5625920295715332,0.6906981468200684,0.6788907009464324,0.9856033325195312,0.12065369495101216,816.5076990127563,15.0,9397.0,0.0
fixed,independent,1,6137,4,3,"h:0|h:4|t:3||t:4|cx:0,5|t:5||cx:1,4|cx:5,2|cx:4,2||cx:3,1|t:0|h:0",7,0.4698125123977661,0.7204293245255585,0.5650427341461182,0.6876466274261475,0.6769653365582463,0.9824471473693848,0.1332243466182635,807.7059850692749,15.0,9397.0,0.0
fixed,independent,2,6238,4,3,"t:3|h:2|cx:0,5||h:1|h:2|h:3||h:4|t:2|t:2||t:1|t:2|t:4",11,0.4658166766166687,0.7231390500166804,0.5660680532455444,0.6835743188858032,0.6728477435429849,0.9846165776252747,0.12471995051534276,794.8483240604401,15.0,9397.0,0.0
fixed,independent,0,7045,5,3,"h:4|h:0|h:0||cx:0,2|cx:3,1|cx:2,4||cx:1,3|cx:2,1|cx:5,2||t:3|h:1|h:2||h:3|t:0|cx:2,0",8,0.46405714750289917,0.7243290279173867,0.5621400475502014,0.6828280091285706,0.6721302666458012,0.9844690561294556,0.12531650973204822,994.7387011051178,15.0,10663.0,0.0
fixed,independent,1,7146,5,3,"cx:4,5|h:0|t:3||t:5|t:1|t:4||t:5|h:4|t:0||t:4|t:1|h:1||t:2|t:1|t:4",14,0.4660778045654297,0.7229622682668754,0.5623286366462708,0.6840604543685913,0.669353418434592,0.986148476600647,0.11834723879343306,960.9696221351624,15.0,10663.0,0.0
fixed,independent,2,7247,5,3,"t:0|cx:2,5|t:0||cx:2,5|cx:4,3|cx:3,4||cx:2,3|h:1|t:4||t:1|h:5|t:4||h:4|t:1|t:3",10,0.47261208295822144,0.7185247317034954,0.5625684857368469,0.6931792497634888,0.684918037837962,0.981529951095581,0.13666059074425466,1009.3053078651428,15.0,10663.0,0.0
