circuit_index,rank,r2,step,gate,qubits,n_qubits_involved
78,1,0.8487,0,t,1,1
78,1,0.8487,1,t,4,1
78,1,0.8487,2,t,3,1
78,1,0.8487,3,cx,"4,3",2
78,1,0.8487,4,t,4,1
78,1,0.8487,5,h,4,1
78,1,0.8487,6,cx,"3,4",2
78,1,0.8487,7,cx,"5,1",2
78,1,0.8487,8,t,3,1
78,1,0.8487,9,cx,"4,5",2
78,1,0.8487,10,cx,"4,5",2
78,1,0.8487,11,h,0,1
78,1,0.8487,12,cx,"5,1",2
78,1,0.8487,13,t,3,1
78,1,0.8487,14,t,0,1
78,1,0.8487,15,cx,"5,0",2
78,1,0.8487,16,h,5,1
78,1,0.8487,17,t,4,1
78,1,0.8487,18,t,2,1
78,1,0.8487,19,h,0,1
78,1,0.8487,20,cx,"2,5",2
78,1,0.8487,21,cx,"5,3",2
78,1,0.8487,22,t,0,1
78,1,0.8487,23,h,2,1
78,1,0.8487,24,cx,"2,1",2
78,1,0.8487,25,t,3,1
78,1,0.8487,26,cx,"1,4",2
78,1,0.8487,27,t,2,1
78,1,0.8487,28,cx,"5,3",2
78,1,0.8487,29,h,5,1
78,1,0.8487,30,t,4,1
78,1,0.8487,31,cx,"1,0",2
78,1,0.8487,32,h,3,1
78,1,0.8487,33,t,5,1
78,1,0.8487,34,t,5,1
78,1,0.8487,35,cx,"2,5",2
78,1,0.8487,36,h,3,1
78,1,0.8487,37,cx,"2,1",2
78,1,0.8487,38,t,4,1
78,1,0.8487,39,t,0,1
78,1,0.8487,40,cx,"5,4",2
78,1,0.8487,41,t,2,1
78,1,0.8487,42,cx,"2,0",2
78,1,0.8487,43,cx,"2,3",2
78,1,0.8487,44,h,4,1
78,1,0.8487,45,cx,"3,1",2
78,1,0.8487,46,cx,"5,2",2
78,1,0.8487,47,h,2,1
78,1,0.8487,48,t,2,1
78,1,0.8487,49,cx,"0,3",2
78,1,0.8487,50,cx,"0,5",2
78,1,0.8487,51,h,3,1
78,1,0.8487,52,h,4,1
78,1,0.8487,53,cx,"1,3",2
78,1,0.8487,54,t,2,1
78,1,0.8487,55,h,0,1
78,1,0.8487,56,h,2,1
78,1,0.8487,57,t,5,1
78,1,0.8487,58,h,5,1
78,1,0.8487,59,t,5,1
87,2,0.84,0,h,1,1
87,2,0.84,1,h,5,1
87,2,0.84,2,t,5,1
87,2,0.84,3,h,5,1
87,2,0.84,4,t,4,1
87,2,0.84,5,h,1,1
87,2,0.84,6,h,4,1
87,2,0.84,7,h,4,1
87,2,0.84,8,cx,"5,2",2
87,2,0.84,9,cx,"0,5",2
87,2,0.84,10,h,1,1
87,2,0.84,11,t,1,1
87,2,0.84,12,cx,"2,3",2
87,2,0.84,13,t,5,1
87,2,0.84,14,h,1,1
87,2,0.84,15,h,1,1
87,2,0.84,16,cx,"0,4",2
87,2,0.84,17,h,4,1
87,2,0.84,18,h,4,1
87,2,0.84,19,h,0,1
87,2,0.84,20,h,3,1
87,2,0.84,21,cx,"1,3",2
87,2,0.84,22,h,2,1
87,2,0.84,23,h,1,1
87,2,0.84,24,t,3,1
87,2,0.84,25,t,1,1
87,2,0.84,26,t,1,1
87,2,0.84,27,t,0,1
87,2,0.84,28,h,5,1
87,2,0.84,29,cx,"2,4",2
87,2,0.84,30,h,5,1
87,2,0.84,31,t,1,1
87,2,0.84,32,h,0,1
87,2,0.84,33,h,4,1
87,2,0.84,34,h,2,1
87,2,0.84,35,cx,"5,3",2
87,2,0.84,36,h,2,1
87,2,0.84,37,t,5,1
87,2,0.84,38,t,0,1
87,2,0.84,39,h,1,1
87,2,0.84,40,h,3,1
87,2,0.84,41,t,1,1
87,2,0.84,42,cx,"1,2",2
87,2,0.84,43,h,0,1
87,2,0.84,44,t,5,1
87,2,0.84,45,cx,"2,1",2
87,2,0.84,46,cx,"5,2",2
87,2,0.84,47,t,4,1
87,2,0.84,48,h,4,1
87,2,0.84,49,cx,"3,2",2
87,2,0.84,50,t,0,1
87,2,0.84,51,cx,"4,2",2
87,2,0.84,52,h,2,1
87,2,0.84,53,cx,"1,4",2
87,2,0.84,54,h,2,1
87,2,0.84,55,h,2,1
87,2,0.84,56,cx,"1,5",2
87,2,0.84,57,cx,"0,5",2
87,2,0.84,58,t,3,1
87,2,0.84,59,t,4,1
59,3,0.8605,0,t,0,1
59,3,0.8605,1,cx,"2,3",2
59,3,0.8605,2,cx,"3,1",2
59,3,0.8605,3,h,4,1
59,3,0.8605,4,cx,"5,2",2
59,3,0.8605,5,h,4,1
59,3,0.8605,6,h,0,1
59,3,0.8605,7,t,3,1
59,3,0.8605,8,h,0,1
59,3,0.8605,9,t,1,1
59,3,0.8605,10,h,4,1
59,3,0.8605,11,h,4,1
59,3,0.8605,12,cx,"2,0",2
59,3,0.8605,13,h,5,1
59,3,0.8605,14,h,4,1
59,3,0.8605,15,h,0,1
59,3,0.8605,16,cx,"4,3",2
59,3,0.8605,17,cx,"2,1",2
59,3,0.8605,18,t,1,1
59,3,0.8605,19,t,2,1
59,3,0.8605,20,h,0,1
59,3,0.8605,21,cx,"0,1",2
59,3,0.8605,22,h,2,1
59,3,0.8605,23,cx,"1,3",2
59,3,0.8605,24,h,1,1
59,3,0.8605,25,cx,"0,5",2
59,3,0.8605,26,h,5,1
59,3,0.8605,27,t,5,1
59,3,0.8605,28,h,3,1
59,3,0.8605,29,cx,"1,0",2
59,3,0.8605,30,h,4,1
59,3,0.8605,31,h,4,1
59,3,0.8605,32,h,1,1
59,3,0.8605,33,cx,"3,5",2
59,3,0.8605,34,cx,"0,2",2
59,3,0.8605,35,t,4,1
59,3,0.8605,36,t,5,1
59,3,0.8605,37,cx,"1,4",2
59,3,0.8605,38,t,2,1
59,3,0.8605,39,h,3,1
59,3,0.8605,40,h,0,1
59,3,0.8605,41,cx,"0,2",2
59,3,0.8605,42,h,5,1
59,3,0.8605,43,h,4,1
59,3,0.8605,44,cx,"3,2",2
59,3,0.8605,45,t,4,1
59,3,0.8605,46,t,2,1
59,3,0.8605,47,h,0,1
59,3,0.8605,48,t,1,1
59,3,0.8605,49,t,2,1
59,3,0.8605,50,h,2,1
59,3,0.8605,51,h,3,1
59,3,0.8605,52,cx,"4,2",2
59,3,0.8605,53,cx,"5,2",2
59,3,0.8605,54,h,3,1
59,3,0.8605,55,h,5,1
59,3,0.8605,56,h,5,1
59,3,0.8605,57,cx,"5,3",2
59,3,0.8605,58,t,1,1
59,3,0.8605,59,cx,"2,5",2
31,4,0.8342,0,t,5,1
31,4,0.8342,1,t,0,1
31,4,0.8342,2,cx,"4,2",2
31,4,0.8342,3,h,5,1
31,4,0.8342,4,h,3,1
31,4,0.8342,5,t,3,1
31,4,0.8342,6,h,3,1
31,4,0.8342,7,h,2,1
31,4,0.8342,8,h,1,1
31,4,0.8342,9,cx,"0,3",2
31,4,0.8342,10,t,5,1
31,4,0.8342,11,h,2,1
31,4,0.8342,12,h,3,1
31,4,0.8342,13,cx,"4,0",2
31,4,0.8342,14,t,1,1
31,4,0.8342,15,h,2,1
31,4,0.8342,16,h,4,1
31,4,0.8342,17,cx,"1,0",2
31,4,0.8342,18,h,1,1
31,4,0.8342,19,t,0,1
31,4,0.8342,20,h,1,1
31,4,0.8342,21,h,2,1
31,4,0.8342,22,cx,"0,1",2
