rank,circuit_index,r2,adj_r2,pearson_r,spearman_rho,rmse_pki,mae_pki,rmse_norm,mae_norm
16,39,0.8798,0.8459,0.9382,0.9328,0.6159,0.4294,0.3117,0.2173
15,66,0.8699,0.8333,0.9339,0.9254,0.6405,0.4655,0.3242,0.2356
19,81,0.8687,0.8318,0.933,0.9221,0.6435,0.4616,0.3257,0.2336
17,37,0.8657,0.8278,0.9305,0.9163,0.6509,0.4733,0.3294,0.2395
11,5,0.8653,0.8273,0.9305,0.9172,0.6518,0.4683,0.3299,0.237
24,69,0.8611,0.822,0.928,0.9199,0.6618,0.4757,0.335,0.2407
3,59,0.8605,0.8212,0.9289,0.9195,0.6633,0.4991,0.3357,0.2526
20,35,0.859,0.8193,0.9284,0.9227,0.6669,0.4878,0.3375,0.2469
13,70,0.859,0.8193,0.927,0.9179,0.6668,0.4803,0.3375,0.2431
18,62,0.859,0.8193,0.9278,0.9213,0.6668,0.4935,0.3375,0.2498
12,15,0.8573,0.817,0.9259,0.9243,0.671,0.483,0.3396,0.2445
22,25,0.8559,0.8153,0.9275,0.9206,0.6743,0.4861,0.3413,0.246
7,56,0.8523,0.8106,0.9237,0.9147,0.6827,0.4928,0.3455,0.2494
25,74,0.8492,0.8067,0.923,0.9188,0.6898,0.4915,0.3491,0.2488
21,4,0.8492,0.8067,0.9234,0.9097,0.6898,0.5083,0.3491,0.2573
1,78,0.8487,0.8061,0.9224,0.916,0.6908,0.5105,0.3496,0.2584
6,55,0.8483,0.8056,0.9211,0.9115,0.6917,0.5091,0.3501,0.2576
14,14,0.8479,0.805,0.9226,0.911,0.6927,0.5086,0.3506,0.2574
10,94,0.8453,0.8017,0.9197,0.9117,0.6986,0.499,0.3536,0.2525
2,87,0.84,0.795,0.9175,0.9059,0.7103,0.5084,0.3595,0.2573
23,97,0.8398,0.7946,0.92,0.9063,0.7109,0.5173,0.3598,0.2618
9,50,0.8387,0.7932,0.9164,0.9081,0.7133,0.5103,0.361,0.2582
5,91,0.8379,0.7922,0.9157,0.908,0.7151,0.5111,0.3619,0.2587
4,31,0.8342,0.7875,0.9146,0.9114,0.7231,0.513,0.366,0.2596
8,33,0.8273,0.7786,0.914,0.9108,0.7381,0.5119,0.3736,0.2591
