name,set,-logKd/Ki,receptor_path
2r58,refined,2.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2r58/2r58_pocket.mol2
3c2f,refined,2.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3c2f/3c2f_pocket.mol2
3g2y,refined,2.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3g2y/3g2y_pocket.mol2
3pce,refined,2.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3pce/3pce_pocket.mol2
4qsu,refined,2.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4qsu/4qsu_pocket.mol2
4qsv,refined,2.0,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4qsv/4qsv_pocket.mol2
4u54,refined,2.06,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4u54/4u54_pocket.mol2
3ao4,refined,2.07,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3ao4/3ao4_pocket.mol2
4cs9,refined,2.1,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4cs9/4cs9_pocket.mol2
2w8w,refined,2.12,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2w8w/2w8w_pocket.mol2
3gv9,refined,2.12,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3gv9/3gv9_pocket.mol2
6r9u,refined,2.12,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6r9u/6r9u_pocket.mol2
6abx,refined,2.14,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6abx/6abx_pocket.mol2
4q90,refined,2.15,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4q90/4q90_pocket.mol2
5cs3,refined,2.15,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5cs3/5cs3_pocket.mol2
4tim,refined,2.16,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4tim/4tim_pocket.mol2
5fe6,refined,2.16,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5fe6/5fe6_pocket.mol2
6ghj,refined,2.16,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6ghj/6ghj_pocket.mol2
3gqz,refined,2.17,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3gqz/3gqz_pocket.mol2
4y3j,refined,2.17,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4y3j/4y3j_pocket.mol2
5oxk,refined,2.17,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5oxk/5oxk_pocket.mol2
5z5f,refined,2.17,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5z5f/5z5f_pocket.mol2
4ahr,refined,2.19,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4ahr/4ahr_pocket.mol2
4ahs,refined,2.19,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4ahs/4ahs_pocket.mol2
4mre,refined,2.19,/home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4mre/4mre_pocket.mol2
