Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1752711322.859	     3.746	0	2353	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5mkr/5mkr_pocket.pdb
2	:	1752711325.361	     3.703	0	2664	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3cfn/3cfn_pocket.pdb
3	:	1752711327.862	     3.799	0	2747	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5nyh/5nyh_pocket.pdb
4	:	1752711330.363	     3.590	0	2570	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/1mrn/1mrn_pocket.pdb
5	:	1752711332.864	     4.089	0	2543	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5m28/5m28_pocket.pdb
6	:	1752711335.366	     4.111	0	2435	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6d1g/6d1g_pocket.pdb
7	:	1752711337.866	     4.235	0	2596	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/2qdt/2qdt_pocket.pdb
8	:	1752711340.367	     4.656	0	2539	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4dld/4dld_pocket.pdb
9	:	1752711342.869	     4.026	0	2672	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/5oht/5oht_pocket.pdb
10	:	1752711345.369	     4.470	0	2588	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6h34/6h34_pocket.pdb
11	:	1752711347.874	     4.543	0	2436	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/6mla/6mla_pocket.pdb
12	:	1752711350.378	     3.783	0	2260	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3twp/3twp_pocket.pdb
13	:	1752711352.879	     3.424	0	2496	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4pee/4pee_pocket.pdb
14	:	1752711355.380	     4.367	0	2892	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/4idn/4idn_pocket.pdb
15	:	1752711357.881	     4.654	0	2675	0	0	./prepare_complexes_chimera.sh /home/karen/Projects/pdbbind/PDBbind_v2020_refined/refined-set/3vf5/3vf5_pocket.pdb
