protein,d_shape_len,rows,columns
1a30,2,433,22
1bcu,2,326,22
1bzc,2,396,22
1c5z,2,302,22
1e66,2,556,22
1eby,2,583,22
1g2k,2,535,22
1gpk,2,459,22
1gpn,2,482,22
1h22,2,663,22
1h23,2,667,22
1k1i,2,418,22
1lpg,2,508,22
1mq6,2,503,22
1nc1,2,475,22
1nc3,2,443,22
1nvq,2,503,22
1o0h,2,387,22
1o3f,2,430,22
1o5b,2,345,22
1owh,2,427,22
1oyt,2,520,22
1p1n,2,418,22
1p1q,2,429,22
1ps3,2,399,22
1pxn,2,451,22
1q8t,2,486,22
1q8u,2,483,22
1qf1,2,430,22
1qkt,2,446,22
1r5y,2,331,22
1s38,2,340,22
1sqa,2,464,22
1syi,2,490,22
1u1b,2,459,22
1uto,2,306,22
1vso,2,445,22
1w4o,2,309,22
1y6r,2,464,22
1yc1,2,514,22
1ydr,2,481,22
1ydt,2,558,22
1z6e,2,527,22
1z95,2,614,22
1z9g,2,343,22
2al5,2,436,22
2br1,2,433,22
2brb,2,393,22
2c3i,2,417,22
2cbv,2,375,22
2cet,2,501,22
2fvd,2,506,22
2fxs,2,433,22
2hb1,2,337,22
2iwx,2,411,22
2j78,2,429,22
2j7h,2,363,22
2p15,2,592,22
2p4y,2,606,22
2pog,2,476,22
2qbp,2,480,22
2qbq,2,442,22
2qbr,2,409,22
2qe4,2,470,22
2qnq,2,543,22
2r9w,2,386,22
2v00,2,360,22
2v7a,2,475,22
2vkm,2,683,22
2vvn,2,458,22
2vw5,2,475,22
2w4x,2,385,22
2w66,2,425,22
2wbg,2,542,22
2wca,2,440,22
2weg,2,409,22
2wer,2,399,22
2wn9,2,439,22
2wnc,2,437,22
2wtv,2,501,22
2wvt,2,392,22
2x00,2,526,22
2xb8,2,522,22
2xbv,2,544,22
2xdl,2,425,22
2xii,2,485,22
2xj7,2,433,22
2xnb,2,484,22
2xys,2,447,22
2y5h,2,492,22
2yfe,2,485,22
2yge,2,506,22
2yki,2,607,22
2ymd,2,369,22
2zb1,2,498,22
2zcq,2,494,22
2zcr,2,632,22
2zda,2,506,22
2zy1,2,532,22
3acw,2,471,22
3ag9,2,717,22
3ao4,2,371,22
3arp,2,569,22
3arq,2,416,22
3aru,2,358,22
3arv,2,353,22
3ary,2,353,22
3b1m,2,539,22
3b27,2,393,22
3b5r,2,627,22
3b65,2,595,22
3b68,2,626,22
3bgz,2,421,22
3bv9,2,540,22
3cj4,2,408,22
3coy,2,550,22
3coz,2,536,22
3d4z,2,381,22
3d6q,2,318,22
3dd0,2,429,22
