protein,rows_fast,rows_ingenni,rows_demo,rows_diff
1a30,433.0,433.0,603.0,True
1bcu,326.0,326.0,423.0,True
1bzc,396.0,396.0,506.0,True
1c5z,302.0,302.0,427.0,True
1e66,556.0,556.0,710.0,True
1eby,583.0,583.0,,False
1g2k,,535.0,,False
1gpk,459.0,459.0,700.0,True
1gpn,482.0,482.0,691.0,True
1h22,663.0,663.0,864.0,True
1h23,667.0,667.0,873.0,True
1k1i,418.0,418.0,570.0,True
1lpg,508.0,508.0,623.0,True
1mq6,503.0,503.0,,False
1nc1,475.0,475.0,,False
1nc3,443.0,443.0,,False
1nvq,503.0,503.0,580.0,True
1o0h,387.0,387.0,443.0,True
1o3f,430.0,430.0,538.0,True
1o5b,345.0,345.0,454.0,True
1owh,427.0,427.0,567.0,True
1oyt,520.0,520.0,649.0,True
1p1n,418.0,418.0,631.0,True
1p1q,429.0,429.0,632.0,True
1ps3,399.0,399.0,,False
1pxn,451.0,451.0,,False
1q8t,486.0,486.0,639.0,True
1q8u,483.0,483.0,628.0,True
1qf1,430.0,430.0,636.0,True
1qkt,446.0,446.0,,False
1r5y,331.0,331.0,,False
1s38,340.0,340.0,,False
1sqa,464.0,464.0,635.0,True
1syi,490.0,490.0,662.0,True
1u1b,459.0,459.0,566.0,True
1uto,306.0,306.0,417.0,True
1vso,445.0,445.0,638.0,True
1w4o,309.0,309.0,460.0,True
1y6r,464.0,464.0,638.0,True
1yc1,514.0,514.0,687.0,True
1ydr,481.0,481.0,606.0,True
1ydt,558.0,558.0,716.0,True
1z6e,527.0,527.0,631.0,True
1z95,614.0,614.0,,False
1z9g,343.0,343.0,523.0,True
2al5,436.0,436.0,643.0,True
2br1,433.0,433.0,,False
2brb,393.0,393.0,,False
2c3i,417.0,417.0,,False
2cbv,375.0,375.0,597.0,True
2cet,501.0,501.0,,False
2fvd,506.0,506.0,,False
2fxs,433.0,433.0,625.0,True
2hb1,337.0,337.0,483.0,True
2iwx,411.0,411.0,610.0,True
