protein,d_shape_len,rows,columns
1a30,2.0,603.0,22.0
1bcu,2.0,423.0,22.0
1bzc,2.0,506.0,22.0
1c5z,2.0,427.0,22.0
1e66,2.0,710.0,22.0
1eby,,,
1g2k,,,
1gpk,2.0,700.0,22.0
1gpn,2.0,691.0,22.0
1h22,2.0,864.0,22.0
1h23,2.0,873.0,22.0
1k1i,2.0,570.0,22.0
1lpg,2.0,623.0,22.0
1mq6,,,
1nc1,,,
1nc3,,,
1nvq,2.0,580.0,22.0
1o0h,2.0,443.0,22.0
1o3f,2.0,538.0,22.0
1o5b,2.0,454.0,22.0
1owh,2.0,567.0,22.0
1oyt,2.0,649.0,22.0
1p1n,2.0,631.0,22.0
1p1q,2.0,632.0,22.0
1ps3,,,
1pxn,,,
1q8t,2.0,639.0,22.0
1q8u,2.0,628.0,22.0
1qf1,2.0,636.0,22.0
1qkt,,,
1r5y,,,
1s38,,,
1sqa,2.0,635.0,22.0
1syi,2.0,662.0,22.0
1u1b,2.0,566.0,22.0
1uto,2.0,417.0,22.0
1vso,2.0,638.0,22.0
1w4o,2.0,460.0,22.0
1y6r,2.0,638.0,22.0
1yc1,2.0,687.0,22.0
1ydr,2.0,606.0,22.0
1ydt,2.0,716.0,22.0
1z6e,2.0,631.0,22.0
1z95,,,
1z9g,2.0,523.0,22.0
2al5,2.0,643.0,22.0
2br1,,,
2brb,,,
2c3i,,,
2cbv,2.0,597.0,22.0
2cet,,,
2fvd,,,
2fxs,2.0,625.0,22.0
2hb1,2.0,483.0,22.0
2iwx,2.0,610.0,22.0
2j78,,,
2j7h,,,
2p15,,,
2p4y,2.0,830.0,22.0
2pog,,,
2qbp,2.0,675.0,22.0
2qbq,2.0,599.0,22.0
2qbr,2.0,604.0,22.0
2qe4,,,
2qnq,2.0,644.0,22.0
2r9w,2.0,564.0,22.0
2v00,,,
2v7a,,,
2vkm,2.0,931.0,22.0
2vvn,,,
2vw5,,,
2w4x,,,
2w66,2.0,591.0,22.0
2wbg,2.0,786.0,22.0
2wca,,,
2weg,,,
2wer,2.0,620.0,22.0
2wn9,2.0,591.0,22.0
2wnc,2.0,574.0,22.0
2wtv,2.0,573.0,22.0
2wvt,2.0,563.0,22.0
2x00,2.0,738.0,22.0
2xb8,2.0,667.0,22.0
2xbv,,,
2xdl,,,
2xii,2.0,668.0,22.0
2xj7,2.0,602.0,22.0
2xnb,2.0,607.0,22.0
2xys,2.0,596.0,22.0
2y5h,2.0,582.0,22.0
2yfe,2.0,693.0,22.0
2yge,,,
2yki,,,
2ymd,2.0,539.0,22.0
2zb1,,,
2zcq,2.0,801.0,22.0
2zcr,2.0,825.0,22.0
2zda,2.0,648.0,22.0
2zy1,2.0,795.0,22.0
3acw,2.0,689.0,22.0
3ag9,,,
3ao4,,,
3arp,2.0,737.0,22.0
3arq,2.0,584.0,22.0
3aru,,,
3arv,2.0,471.0,22.0
3ary,2.0,458.0,22.0
3b1m,2.0,722.0,22.0
3b27,,,
3b5r,,,
3b65,,,
3b68,2.0,869.0,22.0
3bgz,2.0,536.0,22.0
3bv9,2.0,658.0,22.0
3cj4,2.0,512.0,22.0
3coy,2.0,736.0,22.0
3coz,2.0,739.0,22.0
3d4z,2.0,557.0,22.0
3d6q,2.0,367.0,22.0
3dd0,,,
3dx1,2.0,522.0,22.0
3dx2,2.0,549.0,22.0
3dxg,2.0,375.0,22.0
3e5a,2.0,580.0,22.0
3e92,,,
3e93,2.0,783.0,22.0
3ebp,2.0,456.0,22.0
3ehy,2.0,483.0,22.0
3ejr,2.0,627.0,22.0
3f3a,2.0,643.0,22.0
3f3c,2.0,677.0,22.0
3f3d,2.0,629.0,22.0
3f3e,2.0,578.0,22.0
3fcq,2.0,530.0,22.0
3fur,,,
3fv1,2.0,747.0,22.0
3fv2,2.0,734.0,22.0
3g0w,,,
3g2n,,,
3g2z,,,
3g31,2.0,255.0,22.0
