protein,resolution,Ki,Kd,ΔG_kcal_per_mol
4tmn,1.70,Ki=0.068nM,0,-13.86
5tmn,1.60,Ki=9.1nM,0,-10.96
1ydr,2.20,Ki=3.0uM,0,-7.53
1ydt,2.30,Ki=48nM,0,-9.98
1bcu,2.00,0,Kd=0.53mM,-4.47
1a30,2.00,Ki=50uM,0,-5.86
1bzc,2.35,Ki=12uM,0,-6.71
1qf1,2.00,Ki=48nM,0,-9.98
1qkt,2.20,0,Kd=0.92nM,-12.32
1c5z,1.85,Ki=97uM,0,-5.47
1k1i,2.20,0,Kd=264nM,-8.97
1e66,2.10,Ki=0.13nM,0,-13.48
1g2k,1.95,Ki=11nM,0,-10.85
1eby,2.29,Ki=0.20nM,0,-13.22
1gpn,2.35,Ki=0.334uM,0,-8.83
1h22,2.15,Ki=0.8nM,0,-12.40
1gpk,2.10,Ki=4.3uM,0,-7.32
1h23,2.15,Ki=4.5nM,0,-11.38
1p1n,1.60,0,Kd=0.16uM,-9.27
1q8u,1.90,0,Kd=1.1uM,-8.12
1p1q,2.00,0,Kd=12.8uM,-6.67
1q8t,2.00,0,Kd=17.5uM,-6.49
1o3f,1.55,Ki=0.011uM,0,-10.85
1oyt,1.67,Ki=0.057uM,0,-9.88
1nc1,2.00,Ki=0.75uM,0,-8.35
1o0h,1.20,Ki=1.2uM,0,-8.07
1nc3,2.20,Ki=10uM,0,-6.82
1owh,1.61,Ki=40nM,0,-10.09
1ps3,1.80,Ki=5.2mM,0,-3.11
1nvq,2.00,Ki=5.6nM,0,-11.25
1mq6,2.10,Ki=7pM,0,-15.21
1lpg,2.00,Ki=82nM,0,-9.66
1uto,1.15,0,Kd=5.32mM,-3.10
1pxn,2.50,Ki=0.07uM,0,-9.76
1r5y,1.20,Ki=0.35uM,0,-8.80
1sqa,2.00,Ki=0.62nM,0,-12.55
1o5b,1.85,Ki=1.7uM,0,-7.87
1s38,1.81,Ki=7.0uM,0,-7.03
1u1b,2.00,0,Kd=16nM,-10.63
2c3i,1.90,0,Kd=25nM,-10.36
1yc1,1.70,0,Kd=680nM,-8.41
2brb,2.10,Ki=13.7uM,0,-6.63
1z9g,1.70,Ki=2.3uM,0,-7.69
1syi,2.10,Ki=3590nM,0,-7.42
2al5,1.65,Ki=4nM,0,-11.45
1w4o,1.60,Ki=6uM,0,-7.12
2br1,2.00,Ki=7.2uM,0,-7.01
1z95,1.80,Ki=76nM,0,-9.71
1y6r,2.20,Ki=77pM,0,-13.79
2iwx,1.50,0,Kd=0.21uM,-9.10
2cbv,1.95,0,Kd=3.3uM,-7.47
2j78,1.65,0,Kd=384nM,-8.75
2j7h,1.95,0,Kd=65nM,-9.80
2cet,1.97,0,Kd=9.6nM,-10.93
1z6e,1.80,Ki=0.19nM,0,-13.25
2hb1,2.00,Ki=160uM,0,-5.18
2fvd,1.85,Ki=3nM,0,-11.62
2v7a,2.50,0,Kd=0.005uM,-11.32
2v00,1.55,0,Kd=0.22mM,-4.99
2fxs,2.00,0,Kd=0.87uM,-8.26
2p15,1.94,0,Kd=50pM,-14.04
2pog,1.84,Ki=0.29nM,0,-13.00
3bgz,2.40,Ki=0.55uM,0,-8.53
2qe4,2.40,Ki=11.0nM,0,-10.85
1vso,1.85,Ki=18.98uM,0,-6.44
3cj4,2.07,0,Kd=0.31uM,-8.87
2zb1,2.50,0,Kd=0.48uM,-8.62
3coy,2.03,0,Kd=0.96uM,-8.20
3coz,2.00,0,Kd=2.7uM,-7.59
3f3e,1.80,0,Kd=20nM,-10.50
2vw5,1.90,0,Kd=3nM,-11.62
2vvn,1.85,0,Kd=50nM,-9.95
3f3d,2.30,0,Kd=69nM,-9.76
2qbp,2.50,Ki=0.004uM,0,-11.45
2qbq,2.10,Ki=0.036uM,0,-10.15
2qbr,2.30,Ki=0.47uM,0,-8.63
3b65,1.80,Ki=0.54nM,0,-12.64
2qnq,2.30,Ki=0.77uM,0,-8.34
3e93,2.00,Ki=1.4nM,0,-12.07
2zcq,2.38,Ki=1.5nM,0,-12.03
3b5r,1.80,Ki=1.7nM,0,-11.96
2vkm,2.05,Ki=1.8nM,0,-11.92
3e92,2.00,Ki=10nM,0,-10.91
2zcr,1.92,Ki=135nM,0,-9.37
3d4z,1.39,Ki=13uM,0,-6.66
2p4y,2.25,Ki=1nM,0,-12.27
3bv9,1.80,Ki=4.4uM,0,-7.30
2zda,1.73,Ki=4nM,0,-11.45
3b68,1.90,Ki=4nM,0,-11.45
3e5a,2.30,Ki=5.9nM,0,-11.22
3f3a,2.00,Ki=64.8uM,0,-5.71
2r9w,1.80,Ki=8uM,0,-6.95
3f3c,2.10,Ki=950nM,0,-8.21
3jvs,1.90,0,Kd=0.29uM,-8.91
3gnw,2.39,0,Kd=0.79nM,-12.41
2w4x,2.42,0,Kd=14uM,-6.62
2wn9,1.75,0,Kd=3.0nM,-11.62
2weg,1.10,0,Kd=314nM,-8.87
2wnc,2.20,0,Kd=479nM,-8.62
3ivg,1.95,0,Kd=50uM,-5.86
3kr8,2.10,0,Kd=8nM,-11.04
2wer,1.60,0,Kd=90nM,-9.61
2zy1,1.78,Ki=0.04uM,0,-10.09
3jya,2.10,Ki=0.1301uM,0,-9.39
3g0w,1.95,Ki=0.3nM,0,-12.98
3ebp,2.00,Ki=1.24uM,0,-8.05
3g31,1.70,Ki=1.3mM,0,-3.93
3ehy,1.90,Ki=1.4uM,0,-7.98
3fcq,1.75,Ki=1.7mM,0,-3.78
3jvr,1.76,Ki=1.89uM,0,-7.80
3fur,2.30,Ki=10nM,0,-10.91
3gbb,2.10,Ki=126nM,0,-9.41
3dx2,1.40,Ki=150nM,0,-9.30
3d6q,1.60,Ki=172uM,0,-5.13
3dd0,1.48,Ki=1nM,0,-12.27
2wca,2.30,Ki=2.5uM,0,-7.64
3kgp,2.35,Ki=2.68mM,0,-3.51
3ejr,1.27,Ki=2.7nM,0,-11.68
3dx1,1.21,Ki=265uM,0,-4.88
3ge7,1.50,Ki=2nM,0,-11.86
2wbg,1.85,Ki=35.2uM,0,-6.07
3gr2,1.80,Ki=3mM,0,-3.44
3dxg,1.39,Ki=4.0mM,0,-3.27
3g2z,1.50,Ki=4.4mM,0,-3.21
3gc5,1.40,Ki=55nM,0,-9.90
3gv9,1.80,Ki=7.5mM,0,-2.90
2w66,2.27,Ki=89uM,0,-5.52
3myg,2.40,0,Kd=0.02nM,-14.59
