name,fc0,fc1,fc2,fc3,fc4,fc5,fc6,fc7,fc8,fc9,fc10,fc11,fc12,fc13,fc14,fc15,affinity
1a30,-184.73778,-132.36238,-219.6327,193.76907,162.86163,127.77737,-11.763422,308.98886,305.5379,225.80385,0.0,0.0,0.0,4.1454043,0.0,1.2622125,4.3
1bzc,-266.44138,-193.5353,-288.92697,281.47488,103.768906,72.48902,120.38003,425.70068,203.27107,268.062,0.0,0.0,0.0,5.978406,0.0,1.9898674,4.92
1c5z,-252.91014,-140.46437,-247.76137,177.12735,372.3643,268.61203,-120.003006,483.85687,532.2391,489.22,0.0,0.0,0.0,4.236264,0.0,1.7980132,4.01
1e66,-237.15752,-193.96002,-314.5432,255.36769,-133.14166,-130.73819,371.52753,95.73204,-242.44499,189.73407,0.0,0.0,0.0,7.5407577,0.0,2.8911736,9.89
1eby,-247.3097,-184.59212,-307.8577,287.0348,-154.19452,-173.6649,384.64688,79.99611,-264.76093,198.3848,0.0,0.0,0.0,7.246529,0.0,1.9642799,9.7
1h22,-249.65028,-200.76723,-323.0367,368.33572,-182.58203,-188.41469,444.0744,39.439003,-279.6943,39.7332,0.0,0.0,0.0,8.817171,0.0,3.0579336,9.1
1h23,-249.00836,-200.80125,-325.03946,401.30682,-161.64825,-172.6052,435.17148,53.027145,-250.99689,17.283083,0.0,0.0,0.0,8.529039,0.0,2.8685904,8.35
1k1i,-211.7779,-162.59021,-251.5351,183.92873,32.86112,12.933569,55.648384,163.53935,36.966793,73.59518,0.0,0.0,0.0,6.8712397,0.0,2.1526077,6.58
1lpg,-275.43982,-200.2731,-313.0445,327.95392,-84.498955,-82.61627,314.6498,297.31595,-208.81268,158.84097,0.0,0.0,0.0,7.2885585,0.0,2.2031016,7.09
1mq6,-255.0331,-175.81049,-308.64282,195.41347,-94.866135,-108.90412,358.15973,162.36003,-195.829,355.82614,0.0,0.0,0.0,9.680357,0.0,3.3930352,11.15
1nc1,-139.14525,-102.50631,-190.79285,22.728176,138.99863,121.09991,-15.203528,175.45494,257.486,184.50354,0.0,0.0,0.0,7.2255573,0.0,2.7818463,6.12
1nc3,-169.41823,-106.54185,-201.96758,11.403608,226.80606,178.34084,-81.50806,284.644,410.42688,269.35614,0.0,0.0,0.0,5.9434466,0.0,2.24989,5.0
1nvq,-198.54689,-145.97331,-248.59294,187.10413,-27.439026,-37.14011,194.65639,184.77876,-51.83925,145.8729,0.0,0.0,0.0,7.2903194,0.0,2.336481,8.25
1o0h,-188.12285,-112.262054,-232.28462,91.33439,191.74611,145.34682,-60.28222,243.68626,255.25768,205.0407,0.0,0.0,0.0,4.44477,0.0,1.359477,5.92
1o3f,-218.78493,-152.47496,-266.76108,159.41234,-2.9260428,-31.670513,143.67952,180.37456,-47.906586,181.3623,0.0,0.0,0.0,7.165427,0.0,2.6079197,7.96
1o5b,-208.78535,-129.25081,-232.95111,99.78626,244.33876,182.16273,-54.917496,374.43304,314.22144,306.64166,0.0,0.0,0.0,5.328335,0.0,2.1582618,5.77
1oyt,-201.90144,-146.2026,-261.1213,179.82552,-36.100464,-43.22329,161.70001,136.70052,-82.04326,23.32151,0.0,0.0,0.0,6.182502,0.0,2.0245345,7.24
1ps3,-216.46815,-132.11499,-237.91843,157.78738,203.57898,141.85829,-83.83552,344.87442,377.32074,139.52023,0.0,0.0,0.0,4.185479,0.0,1.5680411,2.28
1pxn,-176.66187,-145.76567,-245.13954,147.02167,7.023342,-9.578146,114.50729,128.96188,-12.631537,44.007893,0.0,0.0,0.0,7.1563025,0.0,2.6954172,7.15
1q8u,-209.59929,-141.52348,-269.20755,293.92117,5.404419,-10.898657,104.99251,187.9612,-43.87977,74.68959,0.0,0.0,0.0,6.46467,0.0,2.3866136,5.96
1qkt,-169.74576,-114.76086,-226.65427,52.986588,9.879745,1.4436166,109.93712,120.55617,-32.35009,211.31848,0.0,0.0,0.0,7.1820474,0.0,2.7626674,9.04
